gene	GWAS	Fst	H12	PBS
Clipd4 (AGAP002811)	FALSE	TRUE	FALSE	TRUE
Clipd6 (AGAP002813)	FALSE	TRUE	FALSE	TRUE
Clipd8 (AGAP002784)	FALSE	FALSE	TRUE	TRUE
Esp (AGAP002331)	FALSE	FALSE	TRUE	FALSE
Gluriid (AGAP002797)	FALSE	TRUE	FALSE	FALSE
Gnbpb2 (AGAP002798)	FALSE	TRUE	FALSE	FALSE
Gnbpb3 (AGAP002799)	FALSE	TRUE	FALSE	FALSE
Gprtak1 (AGAP002824)	FALSE	FALSE	TRUE	FALSE
Ir100i (AGAP004475)	FALSE	TRUE	FALSE	TRUE
Mrpl11 (AGAP002332)	FALSE	FALSE	TRUE	FALSE
Mrps26 (AGAP004481)	FALSE	FALSE	FALSE	TRUE
Rps25 (AGAP004462)	FALSE	FALSE	FALSE	TRUE
Spas (AGAP002334)	FALSE	FALSE	TRUE	FALSE
Spn-E (AGAP002829)	FALSE	TRUE	TRUE	FALSE
