EA18-0034	Tanzania	Moshi	VBS54919	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438082	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438082/ERR9438082_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/002/ERR9438082/ERR9438082_2.fastq.gz
EA18-0038	Tanzania	Moshi	VBS54923	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438083	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438083/ERR9438083_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/003/ERR9438083/ERR9438083_2.fastq.gz
EA18-0039	Tanzania	Moshi	VBS54924	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438084	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438084/ERR9438084_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/004/ERR9438084/ERR9438084_2.fastq.gz
EA18-0043	Tanzania	Moshi	VBS54927	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438085	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438085/ERR9438085_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/005/ERR9438085/ERR9438085_2.fastq.gz
EA18-0046	Tanzania	Moshi	VBS54930	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438086	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438086/ERR9438086_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/006/ERR9438086/ERR9438086_2.fastq.gz
EA18-0047	Tanzania	Moshi	VBS54931	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438087	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438087/ERR9438087_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/007/ERR9438087/ERR9438087_2.fastq.gz
EA18-0049	Tanzania	Moshi	VBS54932	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438088	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438088/ERR9438088_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/008/ERR9438088/ERR9438088_2.fastq.gz
EA18-0051	Tanzania	Moshi	VBS54934	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438089	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438089/ERR9438089_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/009/ERR9438089/ERR9438089_2.fastq.gz
EA18-0057	Tanzania	Moshi	VBS54937	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438090	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438090/ERR9438090_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/000/ERR9438090/ERR9438090_2.fastq.gz
EA18-0058	Tanzania	Moshi	VBS54938	25/07/2018	1246:VO-TZ-KABULA-VMF00185	ERR9438091	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438091/ERR9438091_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR943/001/ERR9438091/ERR9438091_2.fastq.gz
